"After a year of taking classes here off and on, TSS feels like my acting home . Every teacher I have had cared about my progress and created a safe and...",I love this studio. I have taken Beginning Technique and scene study here. The staff is so friendly and I absolutely love Pamela Scott as a teacher. I...,j_4DIfq_OLJW_P_CB3TtRw
"I visited Westside Theatre yesterday to see Little Shop of Horrors. 
Upon arrival, we entered the lobby where people were waiting for the upstairs lobby/bar...","Recently saw ""Little Shop of Horrors"" here. Westside has two small theaters and Little Shop was in the larger one upstairs. I certainly understand...",VmrBO2M1v6yEdRqEVNTrsQ
I have been working with Lumina for 3 years now.  So pleasantly surprised that they (Yaniv and Arthur) respond to my little questions on this and that with...,Lumina makes great sites. I have selected Lumina on several occasions to work on projects as large as a new site and as small as adjustments to Google...,ADtm_QMlyle6jACJuPo0sQ
"Well I've been to Art House Productions I would say a half a dozen times and I went the other night to check out a one woman show. For $6, I got to see such...","Wahoo !! Check em out the first Thursday of the month for the Art Huose Mic, welcoming comedians, poets, spoken word, dance and anything else you can think...",zVGUkHLvNFqB0IvWxLnQ7A
"While trying to figure out what to do during covid for my daughter who was turning 8, I decided on a small group of 8 for a party at our house. I wanted a...","Working with JoJo has been quite an amazing journey. I found him on Yelp a few months ago; I was interested in sharpening my DJing skills, and learn a bit...",j1n8Aslgo-nLqFFFtKBulA
,,ERK2TzYCt57XHnLrosPm7w
"Review for pre-COVID times:

I visited Cha-An with a friend after the lunch rush on a weekday and was pleasantly surprised by the cute decor inside!...","Love their cocktail drinks and desserts, not overly sweet just like how I like it. It's a cute little spot on the second floor. Prefer this over spot dessert.",5QgBCrAbXbM1ORiqZDrBPQ
They did a wonderful job taking my daughter's picture!  Quick work and very professional!!,"Chirali and Amish are wonderful souls! They work hard and are super flexible, willing to accommodate last minute request or concerns. They knew how to calm...",BxLRNZD_ZHKV5qmqu56T-g
"Miss traveling to Europe yet? I know I do, and this place is a perfect snapshot of France. Besides the cute French decor and outdoor heated seating shed...",Boucherie is one of my favorite french restaurants in New York! I've been to Boucherie many times and also during covid lockdown I've ordered takeout form...,8XHbZIKDQbXhyKIGiukVeQ
"Fantastic experience and so glad I stopped here this week. I have been very averse to indoor dining and we had a reservation for weeks for outdoor, and then...","Ordered from here during the quarantine period and let me start off my saying, ""Wow!""  The mere fact that this restaurant is able to provide the same...",kctef59qqlzJNqAc1ZGEvg
"The first thing you notice is how comfortable the space is, and then how cool and well-maintained the equipment is. These are clearly pros. I went in for a...",It was my first time coming in to a recording studio and I was really nervous.  We were recording a short music video (both audio and video) for our...,sTajR5YEJbKuhgCxhmaWYQ
,,W6_lsI25UIMV7U07XGlP0A
Another diamond carved out of concrete! This lovely little theater reminded me of the cool underground theaters in Berlin and London in the 80's and 90's....,Not much to say about the theater. I gave it 3/5 stars because of bad speakers they provided a taiko drum and dance festival I went to. The speaker would...,xWuZJ7S9SqAQVSNvRLIQEA
,,pX9pfTNz_0i3Se57HKsO2w
"We ordered delivery from here for dinner and it was amazing. We didn't expect much since we were ordering a steak dinner to be delivered, but we were very...",I came here for my anniversary during Covid. I have to say this was one of the best experience I have every had at a restaurant. What blew me away about...,DeiVNRCo4kw5XUsHbXFkUg
Really love this place! COVID-19 protocols are taken seriously. The simple modern interior design of the restaurant incorporates Japanese...,With the plethora of restaurants on Bell Blvd this is one that you must visit! This establishment is taking COVID safety precautions for dine-in meals and I...,W2Dj_3C2ySoXgg1SaGVj6g
Great show! My daughter is reading the books and although she hasn't read all of them we both absolutely LOVED  the show!! THe special effects were amazing!...,The play was extremely enjoyable and fans of the HP universe will love it.  Hardcore fans will find a few things wrong with it and nitpick at the minute...,ci2v8dpz_-ocpTL2IcNGRA
"This was my first time back to The Smith since the pandemic. Overall, it was a good experience sprinkled with some awkward moments. We had the option of...","I'd be lying if I said I didn't come here JUST for the potato chips topped with melty blue cheese. Oh, and the burger, which is ALWAYS perfectly cooked, no...",JYNBy2r3LVhJbLHE1bASfg
"Cool bar we popped into as we were  walking about the city. 

The bartender was super chill and laid back and his playlist was awesome.  The kitchen was...","A solid pub offering about two dozen well-curated beers on tap, a full bar, as well as a full food menu. I enjoyed a Big Hugs stout from Half Acre Brewing...",J4-UKUUx_cuclPt__ZwOPg
Don't bother looking anywhere else to record. Mirrotone is the place to go. Jay and Roman are fantastic. I worked with Jay on demos for my new musical. He...,"I've been recording with mirrortone for about 3 years now and they really are as good as it gets. Talented, professional and really passionate about what...",qtzI1YBVsaL7Pvkg43sU5Q
Came here last weekend. Food and drinks were delicious and service was impeccable. Even the free bread and butter were among the best ever. I wish the...,"Came for NYE 2021 and received attentive and welcoming service, great food, lovely outdoors set up with balloons and lights and heat lamps, and even a...",Tp3MF3DNXuW41A10PQ2nFw
Went here with my wife today for my weekly coconut cookie (try it out - i won't have to justify my habits to you) and had just bumped into an acquaintance...,"Super enjoyed this place with the patio out back. Great selection of beverages, alcoholic and non alcoholic to choose from, along with a snack and lunch...",e9qqpxlOrLRVxGQzTQ8sOg
This is one of my favorite places on earth.   They are consistently creating new and interesting theatre.   It is always affordable.   This time I got Rush...,"Came here to see the production of For Colored Girls, that has not been on Broadway since 1976! So this was a pivitol moment in history and I was happy to...",4YktLQQNdMoph8fWVAHZ9Q
Let me just say this is hands-down the best authentic New York City steakhouse. Period. I actually was a server for two years at one of New York City's...,"Came during covid after inside dining opened, ever table and hand sanitizer, everyone was wearing masks. The steaks were cooked perfectly and the potatoes...",dqXZa8fcvHsFvtZVtwRNkA
Came on a Friday night for a special occasion. Great atmosphere in the back dining room if you wish for a quiet and nice dinner. Waiters and staff were...,My niece & two sisters had such an AMAZING time here. The food was GREAT!!!! The service was REALLY SUPERB & our waiter was so SWEET!!!! The food came...,YWA7h0vC25Xyvq3xb_pMxA
"I had originally walked by Ainslie just randomly on the street and thought to myself it looked really cute. Months later, I saw it on Tiktok and looked so...","So this is important. Super hip aesthetic, mimosa slinging brunch spots are a dime a dozen in Brooklyn.  They are literally all over the place. But I was...",-7PnG_cD9VY-IfHGWzynmQ
I went to my first Broadway show in October at this theater. Alladin. The company treated us to dinner and a show with the CEO. I arrived just as the show...,"It was a great show. Decor in the stage, costumes, performance of the show was really good. I must say all the crew gives their heart while playing this...",8MizQakSUhMfbdTsHMO3qA
I really enjoyed the comfy atmosphere and the old fashion I got was good and strong with lemon and cherries. The Salmon Alla Porcini was EXCELLENT! The...,This is truly a great restaurant. Manhattan quality in Long Island City. Bolivar and Segundo are super. Their menu has expanded with the pandemic. Five stars!,zDujEq9qZk13nBcG2PH4tA
I used NYC Restaurant through a friend's recommendation and it was the best investment I've made.  I am a small startup company and am very new to all this...,I've been working with NYC restaurant since I opened my business and they've been doing an excellent job. Whenever I need something to be fixed on my...,EoK8wJodrHtk_vjiHk5o6g
Wow! I was tasked with finding a restaurant for my boyfriend's birthday. Knowing steak makes him the happiest a steakhouse was a no-brainer. I stumbled upon...,I want to personally thank Adnan for his excellent customer service and hospitality. You were beyond friendly and amazing! Thank you so much for your warmth...,7K9WGGP9SOUxdlJ4ozFy8A
"So after hearing about this place through friends, I had to stop in and try out the chicken wings, the fried Mac & cheese and just get my last dose of...","Ordered the double cooked wings for delivery, and wow!! 
These could easily be my new favorite wings and I def have tried a ton of wings from everywhere!
I...",ciHt5n5rmpby1YcC_6JVrg
I had a performance here last Tuesday. Dominos at Ivette's.  The staff was very accommodating. The Theatre on floor one had at least 100 seats all red and...,"A great place for theatrical experimentation! As a theater maker, it does my heart good to see places like the Krause Theater. Theaters like this encourage...",KVBXD0aAp32lgegZGSs6iw
"One of the better vegan places I've had. Loved their variety of options that they offer - even my carnivore boyfriend liked it. 

We ordered for pickup -...","COVID-19 review 

Been meaning to try this vegan spot for ages! The food is truly amazing and I've had tons of friends recommend to me! We just got a couple...",BYnd0Kbkrjhz0CGKMF1lqg
"I'm going to the theatre!!  I love performance arts.

I saw ""The Tempest"" a play by William Shakespeare as the power of one here.  A small but intimate...","Saw ""A Chorus Line"" yesterday at The Gallery Players with Amy, Jackie and Henry. It was an excellent production.",3ewvWPvcME1fpZVNfE6IsA
The Biscuits here are so good! A great brunch spot in the EV. Biscuits and gravy are a must and this is some of the best southern style food in the area....,We had the barbecue biscuit sitting outside the restaurant in the post Covid age. I have to say it was truly amazing. Very juicy and very tasty. Love the...,ihplCj2HKWR7z-bBKf8Nzw
"Cute sports bar with a fantastic tap list and interesting atmosphere.

I came here just for the beer while my wife did a bunch of fabric shopping in the...","Simple menu, but each item delicious and inexpensive. Grilled cheese and tomato soup, comfort food perfection. The roasted chicken perfectly cooked,...",Z65cd3Z7JvwK8TnSVg-cfA
COVID update: they've currently got outdoor seating with heat lamps - it's a little chilly but not too bad. My boyfriend and I easily made a reservation on...,"I know I've probably written a review claiming ""Best sushi in NYC"", but this review overwrites the others! I did not expect Hillstone, an American...",01isnBO1rFO2LTOeNfYl9w
New York classic that is a great spot during covid. The back patio has a number of heat lamps and is relatively insulated from any wind. Drink menu is...,"Grateful to spend a pre-COVID nite here. THIS is an ultimate NYC bar. Tucked away, not right amount of crowd, Always incredible service, strong, dark and...",J4pAppaiXwCkbLOGc4wHww
"We had a ""western"" style wedding and I worked with Ula at Paris (she speaks both English and multiple dialects of Chinese). She was extremely helpful and...",Horrible business people. Previous owner Fiona sold it to new owner. New owner doesn't get along with old employees. Holding hostage on the product that the...,G-NpAOixeGiYC6MoqFiijQ
"I ate here over the weekend at the new outdoor dining section that they've setup on Stone Street. Nice lamps on the tables, excellent service, food as good...","Harry's is so amazing,from the door man to the waiter. Every minute spent here  was so pleasant. Don't even let me start with the food. My friends and I had...",pNYcGGAj4AYaExlmrEmfUw
"Very tasty and unique new place! I placed a delivery order due to COVID, and called in advance with questions. They were unbelievably attentive and thorough...","You've got to have some large labneh balls in order to open up a new restaurant and stay open in the midst of a pandemic, and boy has Magdalene got em! Much...",Ucg3flg-2tJAahEePIoigQ
,,uqVeMbCOxWwBcZAKdi-Jww
I originally visited a number of their Paris locations and was beyond excited when they were opening a location in NYC.  They have a large following and...,"Interesting concept but good food.

So they only sell one thing here: the steak frites. It comes with the steak, fries and a starter salad.

The starter...",9vYSRXdp5JtFmqhi0FigMA
I love having brunch or even just a cup of joe at High Street. Pair that with one of delicious pastries makes the perfect pairing to a staycation day in the...,"I'm a big fan of High Street on Hudson and was glad to see them open, though they're currently serving a different, seafood-oriented menu for the summer. My...",Oq1mej1BYfjcdPKkM_5o8g
"White Space Chelsea is a completely awesome event venue with a remarkable team. I have worked in NYC as a Special Events Director for nearly 6 years, and...",,gpUEMrjMLZ4-DaGjR8Nc_g
"The key is to eat this pizza FRESH, piping hot from the oven. I had Rubirosa for the first time as take out but I wasn't too impressed and honestly...","I always want to try Rubirosa pizza. But how can I finish my pizza myself. 
So I ordered Cavatelli. NO doubt, still too good to be true. cant stop eating...",WG639VkTjmK5dzydd1BBJA
"My name is Ihab Ibrahim Esq., I have founded the Ibrahim Law Firm And I'm here to tell you about these guys: they have assisted me a great deal with my...",,CzdRVa9CrwsfeFgF4uaTBQ
"Years ago, when I frequented this area, this building was a crumbling old relic with no roof! Now, it's metamorphosed into a state of the art theater with...",New wide-open airy space on 45 Water (across from the original) is now on the East River near the lovely Jane's carousel...,6CjMpreth0lfnbpxTMTkvQ
"COVID-19 outdoor dining review: Frankies 457 has been on my list for a very long time, and I finally made it here last night for dinner. They have a pretty...","Friend visiting from out West said he wanted Italian, Frankies immediately came to mind. We didn't have a reservation but the hostess managed to seat us at...",LfRiA6RORToZUSJUHkZBVA
It was great to be able to dine inside at Capital Grille again.  We had taken out from them since the pandemic began but ventured back in for the first time...,So it's Covid-19 and I need to treat my wife cause she's been cooking for weeks. Cooking is not my forte. Fact is: I don't have many options. But what I do...,ud4-0gH8YlAExTBJoADPtw
Collaboration between Leitao of Brooklyn and the former Upright  Brew house brings some righteous Portuguese food to the West Village. I hope you like...,Upright did a great job at making the best out of NY's idiotic restaurant Covid restrictions. It had semi-covered outdoor space with the right amount of...,5NdHeWLgrXhIySx9ogCNQg
It was a cold night and we walking by we stubbled upon this restaurant which had outdoor dining with a tent type with heaters- we were sold!  You need...,"During COVID everything is socially distanced, including the service. You have to scan the QR code on the table using your phone camera and order through...",9AXTJkwXdWaJaQkCjpj6mA
I have been studying at WVS for four years now... the progress I have made as a singer and musician during that time frame is beyond palpable. I always...,"Mr. Wickham COMPLETELY surpassed my expectations for an initial voice assessment. He has a background in medicine and vocal performance/training, and his...",ulqDxz3xQSP2JqMqhF3ZoQ
"This little cafe inside the Signature Theatre building is run by Great Performances, which I love for its commitment to service, culture and sustainable...","This place is stark, hygienic, spacious and has a really great quiet open space right off the Hell's Kitchen bustle. 

It kind of has a college cafeteria...",LzKH5hxvcuuwMB16Vc8VwQ
I had a few hours to kill before leaving Manhattan back for Phoenix and Yelp pointed me to Judge Roy's after finding myself in need of #allthebeer and some...,"We've been trying to eat at Judge Roy Bean forever, but there's always a long wait and we're always too hungry to wait. Finally ordered takeout burgers...",veku2cg2qaV-7MxwhOMBmg
An unusual off Broadway performance place with some religious and historical background. Actors' Temple is actually a Jewish Temple and still apparently...,"We all look forward to the Holy Days at the Actors' Temple with Rabbi/Cantor Jill Hausman.
What a start to our New Year--the month of Elul begins our season...",eeAlJjk4rCUi_cskRKkNvw
,,22VEyhhv8yuEnWFITNRDzw
Just polished off a delectable steak dinner from their NYC $20.21 restaurant week menu.   I had called in my order and it was ready at the specified pickup...,This is our go to birthday/anniversary/holiday spot. Great food. Nice staff. Steak is always cooked well. Can't wait to return post-COVID!,JOP6kIBIPMoQkygEqU9l5g
"Maybe it's because I'm such a HUGE Pacey (I mean Joshua Jackson) fan, but I really LOVED this show!!!!!

I came on the second night not knowing too much of...","Cool theater! I got a free ticket to We're Gonna Die through the library, which ended up being the first row. Hooked up! The show was exactly an hour and it...",fM4HxeV1JXXrJAzLnZcuTA
"An intimate venue accommodating about a thousand guests, the Belasco Theatre draws the audience in and makes them feel like part of the show. I was there...",The Belasco Theater is another gem of the collection of New York City Theaters. Located in the heart of Manhattan Theater District it has been the venue of...,T0dLc0CA3HWdQF0Ov0dQMA
Awesome theatre In NY. It has major broadway plays there with big names. It has a great ambiance and plenty of room on the inside. It is good place to visit...,"Like all theatres in Manhattan, Shubert Theatre is quite cozy.

Other than the Broadway musicals & operas I have been enjoying in the city, it was my very...",QB7MVXHCn-Rh4gN8wxS25Q
The pandemic isn't keeping the Lincoln Center from celebrating the holidays this year . Although both the Winter's eve and Tree lighting are cancelled due...,Just showing a little love to this gorgeous facility while it is temporarily closed due to COVID. Lincoln Center is a beautiful place on the outside (the...,0bgj31YiTPwfU7ktu-mQgw
"Searching all over for somewhere to throw a surprise party for my wife, I  stumbled upon this gem. When I saw this place online, I said to myself, it's too...","Yes this place is a solid 4.5 stars. Here's how I would break it down: 

Location: 3.5 stars.  It's still a bit of a rough neighborhood though there are a...",U11SNuUoE0yay-78CRSRSA
Hands down a classic! The music / songs are amazing... the story line is so good & I really enjoyed seeing the characters bloom.,"So, I hate musicals. Everytime one is on TV, I either fall asleep or get so irritated I leave the room completely if I can't turn the channel. WICKED,...",9z1GDpTfD3ubVZSioPu_-A
"Great place for pasta!! We ordered delivery from here and the quality of the food was just as good as if we were eating at the restaurant.  

I got the...",The portions may be small but they are big in flavor! I know it's just one dish but I truly believe that osteria morini is a restaurant to be experienced...,KCBfW6sWl9Gx-LvMff08jg
"Great food, nice ambiance, and wonderful service.  It was so nice to have an intimate dining experience durning a global pandemic. Ben was our main server...","This is a hidden gem in Tribeca! We ordered (for curbside pickup) the snapper, which was just was just perfect and the orecchiette, recommended by a friend...",xKIv_b2L2pUHmsoJ-xOepg
I can not say enough positive things about this place. everything we order we are happy and satisfied. the pizza always have a fresh taste and full of...,"Have I ever ordered the ""wrong thing"" at a new restaurant? Absolutely.  Have you ever ordered the right thing? Yeah, me too. The right thing at KSC...",6B3iu_WSfyZU2fqSH1GTzQ
"Don Angie's a tried-and-true, must-visit if you're ever in town (or even if you're a local) -- reservations are almost always hard to snag, even during a...","Phenomenal. Must go to. Worth the hype. We snagged reservations for my birthday dinner, and the food / service / ambiance did not disappoint. We dined in...",h37t9rA06Sr4EetJjKrfzw
"A great little theatre, with a lot of charm and history, along with wonderful productions.

FYI, they have little digital subtitle screens for every seat,...","Love Repertorio Español! Best theater in Spanish in the heart of NYC. Excellent staff, great atmosphere and high quality productions.",xKHgs6jGslECUw3dd8Glrg
"Brooklyn's best kept secret!

These are all flights which are only $20 each! We thought everyone was drinking glasses of wine! We are buying multiple...","Cute and romantic winery perfect for couples or friends!

My boyfriend suggested we check this place out after seeing good reviews on this place and boy did...",lYcRqG3Sm4ntLUeJ302zIA
"I've worked with the team here as a client on two full day shoots.  They're a terrific company, highly focused and detail oriented and the results were...",,E3eoQWgiQyDi4yV6dfS8FA
"Ate there last night.  Note, we were the only table occupied as this damm pandemic is causing patrons to be too afraid of indoor dining. I don't know how...","If your ever looking some delicious yummy pizza in ditmas park area (they deliver), check out Da Nonna Rosa. Their pizza is so tasty and flavorful. Super...",_WttOSi2_ggdvUI6GvaqTg
My wife and I came here during restaurant week since we had been wanting to try this place for a while. Restaurant week menu is fixed. It includes...,"Delicious food and excellent service.  We enjoyed the Arctic Char Tartare, Chicken Liver Pate, Pork Loin, and Burger - all were spectacular.

We come for a...",veq1Bl1DW3UWMekZJUsG1Q
"Awesome space with incredible multispectral natural light!
 Nice helpful building partners, lighting equipment rentals and hosts ,cool...",Sabina was an incredible host. Between her and West they were lovely and a pleasure to work with - They were also extremely helpful and checked in with us...,HMhtoYsF90JYF5c8fqGYAw
Super happy with project and can't recommend Rachel enough. I have tricky requirements and quite  tight budget and she meet them all. My old apartment got...,"I had never really furnished or decorated an apartment before. But I love entertaining, and didn't want to be embarrassed by my place anymore. 

I had a...",ok1nDOMQ3MBpuWEXco0ZCQ
"Wanted to give props to the amazing job L'Artusi is doing with their ""Dinner Packs.""  We got a pack for a group of four of us, reheated and ate it ~3 hours...","Came here for dinner last night to celebrate my fiancé's birthday and was impressed with everything from start to finish. 

First, the outdoor set up is...",rp8S7scxOkVVeG7dNneMGQ
"What an absolutely stunning theatre space. 

I have been dying to see a show here for so long and I finally won tickets to Free Shakespeare in the park, I...","A lovely theatre right smack in the middle of Central Park... home to the famous Shakespeare in the Park  every summer. 

The venue is very clean and well...",dxzI1rou6sYjf-N6XqZWoA
"Start to finish, this place is THE BEST. I'm visiting from just outside of San Francisco and a dear friend told me about this place. I met the owner and...",I came here for New Years Eve and I must say I really was not impressed with this place. I made reservations for private indoor dining and they made us sit...,bjzBkF2FFMsdkCk50xseFQ
"Highly recommend making reservations ahead of time and grabbing a rooftop spot. Also, this will be an expensive meal so plan ahead but you get what you pay...",We came here for a valentines celebration and had the greatest time! Great food lovely and chic atmosphere during covid it's nice to get out and enjoy...,TYKqS9eoC4xiixTNP_xsMQ
I went to this place for the first time two nights ago. It was raining so we had to sit inside and I was very pleased to see how spaced out the tables were...,"Can't believe I have yet to review one of my favorite go-to spots! Im pretty sure it was to keep this hidden gem a secret. Haha, so onto a long one! 

Prior...",wZkZmjZEJDraLJgAalnHvA
"I saw a series of short plays here while my partner went to Wicked! 

Quality: 5 
Value: 5 
Service: n/a 
Ambience: 4 

This is a great little theater that...","I have a whole list of things I want to do before I leave NYC for good, and seeing an off-off-Broadway show was one of them.  I ended up coming to HERE to...",_9Wbh6DzKcIjJU-jgfBxmw
Just wow! What an incredible experience. I am so happy I have leftovers. I don't even know where to begin.German our server was attentive and just let us be...,"I'm a huge Marcus Samuelsson fan, so I was really excited to eat here, even if it was just takeout.  And honestly, my fan girling for Marcus and one single...",fxGpXRxFUDzlU3Cyszu4uQ
"What a great space, with so many little theaters offering an amazing opportunity for smaller scale shows to debut some truly artistic and terrific work,...","I like this venue has multiple floors in a modern building, decided to multiple rooms for different off broadway shows. Each room are not big so very...",5d-3zAQvYnWTDIhXr9Am-Q
Best steaks and great vibes. Mmmm would recommend them for a date. Good drinks as well,I came during restaurant week and my review is based on that experience. I don't frequent steakhouses and the prices on the regular menu are more than I...,yo5eVHQeB3T95Vo04X62VA
"First of all, they were polite and greeted us right away once we walked in. The place was clean, orderly, and the inside of the Restaraunt was so pretty....",Staff works super hard & is very accommodating. Gotta appreciate those who have remained open for business during a pandemic. Servers are fully clothed in...,iAoHFfB_T8U31PhIzD-o_g
,,UO4p9p2bd1S5fPa-9Y62qA
This review is completely biased because I got a front row seat for the first time of my life. It was like watching a play in your living room. I've never...,"Went here on January 7,2020 to see A Soldier's Play. 

Location: Right on 42 street across from McDonald's. Almost every train will get you close to this...",u5ZBzYT6CvgdMlf4wNn6yg
"My husband and I are not Jewish, don't keep kosher, and have been really lucky to experience some amazing food in amazing places.  When we were looking for...","Great food and perfect service! Everyone at our party enjoyed the food!
Thanks Simply Divine!",PZ_ZPOTSAkFAHwj_oNHHuw
"Five stars for the aesthetic. I've only been here for one show, She & Him, and stood in the pit. It was amazing. Awesome. Fantastic. 10/10. Never has...","Beautiful theatre (it better be for the $95MM it cost), but their Ambassadors Club is a weird concept. You just get early access to a windowless carpeted...",gkx8nMeISi_kfon-FkKz9Q
Love attending NYFW shows at this space (RIP Lincoln center Mercedes tent) with nice outdoor space overlooking the waters for drinks post-show. (Though last...,Super cool venue! I brought my daughter here for a modeling photoshoot and just loved the site. Staff was great - views were great and it is such a great...,zQ42voVJmSoc1iRBb1mqeg
"I found this place through a combination of sources that collectively all had Threes Brewing on their ""best burgers in Brooklyn"" list, not to mention it...",Threes has responded to the pandemic lockdown by increasing their delivery capabilities while maintaining the highest quality of brewing. In a time when...,hKChLzaG8tyrSrg3U_wRNw
"The place....
In a complex, a couple of parking spots in front. Waiting area is purple velvet, beautiful lighting, lots of seating...very welcoming! Cubies...",I just want to know do do Zumba classes here for adults at night and if you do how much is it and what nights and what time thank you,x66jgbe-cNuC5oX5mJA4gA
Please note that I have not been to the restaurant or the gallery and this review is only for the cafe. The staff here is nice. The chocolates are cheap and...,"This place is a really amazing cultural center and it has a really good Scandinavian restaurant inside. To start, we ordered the lingonberry soda. It was...",OPpohb04yHkJqv_k24x2zg
,,VhPTe-AHgZxMJpTemTkR3g
"This review if for my lunch experience PRE-COVID19. 

My friends and I had reservations here (fortunately because there was a line even before they opened)....","Came here for dinner last night and had a great experience. I'd been to all three ABC restaurants before, but not since before COVID and I really enjoyed...",dMhRafXdr765DHe0k-QfaQ
Praises to my friend Jenna who decided to try out for the ticket lottery. Homegirl got us some of the coveted (...by some...) pillow seats that surround the...,"It's a remake of an older show, though the story line is the same.  The songs and jokes were okay but seemed too forced and contrived.  The vocals and...",888WJPZVx0ZWQhT6ygRCtQ
Food and drinks are great! They are strict with masking and distancing. Your waiter does not approach your table unless everyone in your party has masks on....,"Order:
- Braised Short Rib Cavatelli (4/5)

Pros:
- Good tasting food 
- Very large and spaced out indoor set-up and a lot of seating outdoor 

Cons:
-...",C-8mGN7lt5rIraO5n-15ug
"This was our first meal eating at a restaurant post-pandemic. NYC is in phase 2 of reopening. We're allowed to eat outside with social distancing.

We've...","If you're in the city and you aren't eating here, you're making a mistake. Mixologists start by making you the PERFECT cocktail. Then you're served an...",I2lgw_7DUnwD92ND4PN-Ow
Another theatrical gem in NYC!  I love all the smaller intimate venues and the Cherry Lane Theatre is no exceptions.  Love this venue and all of its quality...,Super cute and cozy off-Broadway little theater in the West Village! Beautiful part of town - reminds me of Beacon Hill in Boston. My husband and I saw...,G4xDxQrwPWG6u2wYVbfkIA
"Everyone should take this fun and engaging class. Mark is funny, sharp and super informative. He teaches you some key basics on wine that you can actually...","I've taken 2 wine classes (wine 101) and I'm already looking to take the Wine 202 class. 

This is my type of wine class because: 

- It's located near...",8DLQ7S7deSgqEptelZZkrg
"Every year I send my Mother, Grandmother and Aunt to a show for Christmas, this year when I was looking for a show at the Apollo again, I was unable to find...","We really enjoyed being in the Heart of Harlem experiencing community theater. Jamaica was delightful, funny and touched upon relevant issues like class,...",WOM056rBZ5ZcDyzcC9hpsA
"Looking to watch the Eagles-Cowboys game on a cold Sunday afternoon.  Found this Authentic Irish pub. 

Amazing Brussel Spouts Hash with 2 fresh eggs......",Met up with friends for drinks.  Kinda pricey if you're not ordering happy hour.  Server was courteous.  Really good poor on my Jameson ginger.  Best thing...,yFB5JUiz-SPpnhWg2iCU9w
"It was a temporate autumn day, too nice to be cooped up inside; so we decided to go to the Brooklyn Botanical Garden. I'm so glad that we did! First of all,...","The Brooklyn Botanic Garden is adjacent to Prospect Park. It is a ""must visit"" in Brooklyn.  There are 52 acres of gardens that includes a number of...",IMA18MENFeqdZc5YVh8njg
"One of the best I've had by far. This review is for a takeout order.

I tried for the first time for New York Restaurant To Go Week. I got their Non-Veg...",This is one of my favorite spots in nyc. First thing you notice when you walk in is the beautiful long bar and all the nice art on the walls. It feels like...,CO3lm5309asRY7XG5eXNgg
"During this strange world, I've been enjoying taking advantage of all the amazing virtual opportunities out there we may not otherwise get because of our...","Excellent behind the scenes tour of the NY Historical Society by the head of conservation at the museum. 

 It was very informative and it was nice that...",3O6ssJxRo_nalCJdY6rVKg
This was my first time at this space. Heard about it through a friend and wanted to find a quiet place to do some writing while I wait for the workshops to...,"On a Saturday morning, I came here with a group of friends.   This museum is very small.  You can walk around and see it all in less than 5 minutes.   This...",Uig7hia4MuHmRQ1RLRaqtQ
